 ?, Some-college, Husband, Male, >50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, Assoc-acdm, Wife, Female, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, HS-grad, Husband, Male, >50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, 7th-8th, Not-in-family, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, 10th, Own-child, Female, <=50K
 ?, 10th, Own-child, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Masters, Husband, Male, <=50K
 ?, Bachelors, Unmarried, Female, <=50K
 ?, Bachelors, Own-child, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, 11th, Own-child, Female, <=50K
 ?, 11th, Not-in-family, Male, <=50K
 ?, Assoc-acdm, Wife, Female, <=50K
 ?, Bachelors, Not-in-family, Female, <=50K
 ?, Some-college, Other-relative, Female, <=50K
 ?, HS-grad, Not-in-family, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, HS-grad, Wife, Female, <=50K
 ?, Bachelors, Not-in-family, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 12th, Own-child, Male, <=50K
 ?, Doctorate, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 11th, Husband, Male, <=50K
 ?, Bachelors, Husband, Male, <=50K
 ?, HS-grad, Wife, Female, >50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, 5th-6th, Husband, Male, >50K
 ?, Some-college, Own-child, Female, <=50K
 ?, 11th, Own-child, Male, <=50K
 ?, 11th, Own-child, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Bachelors, Not-in-family, Male, <=50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 11th, Husband, Male, <=50K
 ?, 10th, Own-child, Male, <=50K
 ?, 9th, Husband, Male, <=50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, HS-grad, Not-in-family, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Bachelors, Husband, Male, >50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Assoc-voc, Not-in-family, Male, <=50K
 ?, 9th, Husband, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Masters, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, HS-grad, Husband, Male, >50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, Masters, Husband, Male, >50K
 ?, 11th, Not-in-family, Female, <=50K
 ?, HS-grad, Unmarried, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Some-college, Wife, Female, <=50K
 ?, 11th, Not-in-family, Male, <=50K
 ?, Assoc-voc, Husband, Male, >50K
 ?, 11th, Own-child, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, HS-grad, Other-relative, Female, <=50K
 ?, HS-grad, Not-in-family, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, 11th, Own-child, Male, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, 11th, Unmarried, Female, <=50K
 ?, 10th, Own-child, Male, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Assoc-voc, Unmarried, Female, <=50K
 ?, HS-grad, Own-child, Male, <=50K
 ?, HS-grad, Wife, Female, <=50K
 ?, 7th-8th, Not-in-family, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Not-in-family, Male, <=50K
 ?, Assoc-voc, Husband, Male, <=50K
 ?, HS-grad, Not-in-family, Male, <=50K
 ?, HS-grad, Own-child, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, Bachelors, Husband, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 10th, Not-in-family, Female, <=50K
 ?, Bachelors, Own-child, Male, <=50K
 ?, 7th-8th, Not-in-family, Male, <=50K
 ?, HS-grad, Own-child, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Assoc-voc, Not-in-family, Male, <=50K
 ?, HS-grad, Wife, Female, <=50K
 ?, 7th-8th, Husband, Male, <=50K
 ?, HS-grad, Husband, Male, >50K
 ?, 12th, Not-in-family, Male, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Not-in-family, Male, >50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Bachelors, Not-in-family, Female, <=50K
 ?, HS-grad, Other-relative, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, 11th, Not-in-family, Female, <=50K
 ?, HS-grad, Own-child, Female, <=50K
 ?, 7th-8th, Not-in-family, Male, <=50K
 ?, Bachelors, Not-in-family, Male, <=50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, Preschool, Not-in-family, Female, <=50K
 ?, HS-grad, Wife, Female, >50K
 ?, HS-grad, Own-child, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, HS-grad, Own-child, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Assoc-voc, Wife, Female, <=50K
 ?, HS-grad, Own-child, Male, <=50K
 ?, Bachelors, Unmarried, Female, <=50K
 ?, 7th-8th, Husband, Male, <=50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Bachelors, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Assoc-voc, Husband, Male, <=50K
 ?, Bachelors, Wife, Female, >50K
 ?, Some-college, Wife, Female, >50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Bachelors, Not-in-family, Male, <=50K
 ?, Bachelors, Own-child, Male, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Assoc-acdm, Not-in-family, Male, <=50K
 ?, Assoc-acdm, Husband, Male, >50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Some-college, Not-in-family, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, Doctorate, Husband, Male, >50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 10th, Husband, Male, <=50K
 ?, 11th, Own-child, Female, <=50K
 ?, Bachelors, Other-relative, Female, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 7th-8th, Other-relative, Male, <=50K
 ?, Assoc-voc, Wife, Female, >50K
 ?, 11th, Own-child, Female, <=50K
 ?, 11th, Own-child, Male, <=50K
 ?, 7th-8th, Not-in-family, Female, <=50K
 ?, Masters, Not-in-family, Female, >50K
 ?, Some-college, Own-child, Female, <=50K
 ?, 12th, Not-in-family, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 10th, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, Bachelors, Own-child, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Other-relative, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, Masters, Not-in-family, Female, >50K
 ?, Some-college, Unmarried, Female, <=50K
 ?, 10th, Not-in-family, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 11th, Not-in-family, Female, <=50K
 ?, Assoc-acdm, Not-in-family, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Assoc-acdm, Not-in-family, Male, <=50K
 ?, 12th, Own-child, Male, <=50K
 ?, Assoc-voc, Wife, Female, >50K
 ?, HS-grad, Wife, Female, <=50K
 ?, Some-college, Unmarried, Female, <=50K
 ?, 9th, Husband, Male, <=50K
 ?, 11th, Own-child, Male, <=50K
 ?, 7th-8th, Husband, Male, <=50K
 ?, 9th, Not-in-family, Female, <=50K
 ?, Some-college, Wife, Female, >50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Bachelors, Husband, Male, >50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Bachelors, Husband, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, 7th-8th, Own-child, Male, <=50K
 ?, Bachelors, Husband, Male, >50K
 ?, Masters, Not-in-family, Male, <=50K
 ?, HS-grad, Not-in-family, Female, >50K
 ?, Some-college, Own-child, Female, <=50K
 ?, 10th, Unmarried, Female, <=50K
 ?, 10th, Husband, Male, <=50K
 ?, Some-college, Unmarried, Female, <=50K
 ?, Bachelors, Not-in-family, Male, <=50K
 ?, 10th, Own-child, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Husband, Male, >50K
 ?, 9th, Own-child, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, 9th, Own-child, Male, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, HS-grad, Wife, Female, >50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Some-college, Husband, Male, >50K
 ?, Bachelors, Other-relative, Female, <=50K
 ?, Assoc-voc, Own-child, Female, <=50K
 ?, Bachelors, Not-in-family, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, Masters, Not-in-family, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Assoc-voc, Unmarried, Female, <=50K
 ?, HS-grad, Not-in-family, Male, <=50K
 ?, 9th, Own-child, Female, <=50K
 ?, 5th-6th, Husband, Male, <=50K
 ?, Some-college, Not-in-family, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, 10th, Own-child, Male, <=50K
 ?, HS-grad, Not-in-family, Male, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, 10th, Not-in-family, Male, <=50K
 ?, 7th-8th, Not-in-family, Female, <=50K
 ?, 10th, Other-relative, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, 5th-6th, Husband, Male, <=50K
 ?, Masters, Wife, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Bachelors, Husband, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, Bachelors, Own-child, Female, <=50K
 ?, Some-college, Wife, Female, <=50K
 ?, Some-college, Wife, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 10th, Husband, Male, <=50K
 ?, Masters, Not-in-family, Female, <=50K
 ?, Some-college, Unmarried, Female, <=50K
 ?, 11th, Husband, Male, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Doctorate, Husband, Male, >50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, HS-grad, Not-in-family, Male, <=50K
 ?, 10th, Unmarried, Female, <=50K
 ?, 5th-6th, Wife, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, 11th, Unmarried, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, 11th, Own-child, Female, <=50K
 ?, Bachelors, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Own-child, Female, <=50K
 ?, Assoc-voc, Own-child, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Unmarried, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, Bachelors, Not-in-family, Female, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, Some-college, Husband, Male, >50K
 ?, HS-grad, Own-child, Female, <=50K
 ?, Assoc-voc, Husband, Male, >50K
 ?, HS-grad, Own-child, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, 9th, Not-in-family, Female, <=50K
 ?, HS-grad, Husband, Male, >50K
 ?, Some-college, Not-in-family, Female, >50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Bachelors, Own-child, Male, <=50K
 ?, Masters, Husband, Male, <=50K
 ?, Assoc-voc, Own-child, Male, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, Bachelors, Husband, Male, >50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, Assoc-acdm, Husband, Male, <=50K
 ?, Assoc-voc, Own-child, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, 11th, Husband, Male, <=50K
 ?, Preschool, Husband, Male, <=50K
 ?, 11th, Husband, Male, <=50K
 ?, HS-grad, Own-child, Male, <=50K
 ?, HS-grad, Wife, Female, <=50K
 ?, Some-college, Other-relative, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Own-child, Male, <=50K
 ?, HS-grad, Own-child, Female, <=50K
 ?, Some-college, Unmarried, Female, <=50K
 ?, HS-grad, Other-relative, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Bachelors, Husband, Male, >50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Bachelors, Own-child, Female, <=50K
 ?, Bachelors, Wife, Female, >50K
 ?, HS-grad, Other-relative, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 11th, Own-child, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Bachelors, Husband, Male, <=50K
 ?, Bachelors, Not-in-family, Female, <=50K
 ?, HS-grad, Other-relative, Male, <=50K
 ?, HS-grad, Not-in-family, Male, <=50K
 ?, 7th-8th, Not-in-family, Male, <=50K
 ?, 7th-8th, Not-in-family, Female, <=50K
 ?, Bachelors, Not-in-family, Female, <=50K
 ?, Some-college, Other-relative, Female, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, HS-grad, Husband, Male, >50K
 ?, 7th-8th, Not-in-family, Male, <=50K
 ?, Some-college, Not-in-family, Male, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, HS-grad, Wife, Female, <=50K
 ?, 7th-8th, Not-in-family, Male, <=50K
 ?, Some-college, Unmarried, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, 9th, Not-in-family, Female, <=50K
 ?, Prof-school, Husband, Male, >50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Some-college, Husband, Male, >50K
 ?, Some-college, Husband, Male, <=50K
 ?, 11th, Not-in-family, Female, <=50K
 ?, HS-grad, Own-child, Male, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, 5th-6th, Husband, Male, >50K
 ?, HS-grad, Own-child, Male, <=50K
 ?, Preschool, Wife, Female, <=50K
 ?, Preschool, Other-relative, Male, <=50K
 ?, 12th, Own-child, Female, <=50K
 ?, Some-college, Unmarried, Female, <=50K
 ?, 11th, Own-child, Male, <=50K
 ?, Assoc-acdm, Not-in-family, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Assoc-voc, Husband, Male, >50K
 ?, Assoc-acdm, Other-relative, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, HS-grad, Own-child, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Assoc-voc, Not-in-family, Female, <=50K
 ?, Bachelors, Husband, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Some-college, Husband, Male, >50K
 ?, Assoc-voc, Own-child, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Prof-school, Husband, Male, >50K
 ?, Some-college, Unmarried, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, 7th-8th, Husband, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Assoc-acdm, Own-child, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, 7th-8th, Husband, Male, >50K
 ?, 11th, Other-relative, Male, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Bachelors, Not-in-family, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Bachelors, Not-in-family, Male, <=50K
 ?, HS-grad, Unmarried, Female, <=50K
 ?, Some-college, Not-in-family, Male, <=50K
 ?, Assoc-voc, Not-in-family, Female, <=50K
 ?, Assoc-voc, Husband, Male, >50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, Assoc-voc, Unmarried, Female, <=50K
 ?, HS-grad, Wife, Female, <=50K
 ?, Some-college, Not-in-family, Male, <=50K
 ?, Bachelors, Husband, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, 7th-8th, Other-relative, Female, <=50K
 ?, Bachelors, Husband, Male, <=50K
 ?, Masters, Husband, Male, >50K
 ?, 10th, Unmarried, Female, <=50K
 ?, 10th, Other-relative, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, HS-grad, Not-in-family, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Bachelors, Not-in-family, Male, <=50K
 ?, Bachelors, Husband, Male, >50K
 ?, Assoc-voc, Own-child, Female, >50K
 ?, Bachelors, Own-child, Male, <=50K
 ?, Some-college, Husband, Male, >50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Bachelors, Husband, Male, >50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, HS-grad, Husband, Male, >50K
 ?, 11th, Unmarried, Male, <=50K
 ?, 12th, Own-child, Female, <=50K
 ?, HS-grad, Own-child, Female, <=50K
 ?, 10th, Own-child, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Wife, Female, >50K
 ?, HS-grad, Unmarried, Male, <=50K
 ?, Some-college, Husband, Male, <=50K
 ?, Bachelors, Husband, Male, <=50K
 ?, 10th, Own-child, Male, <=50K
 ?, HS-grad, Own-child, Female, <=50K
 ?, Bachelors, Husband, Male, >50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Prof-school, Unmarried, Female, <=50K
 ?, Bachelors, Husband, Male, <=50K
 ?, Masters, Husband, Male, <=50K
 ?, HS-grad, Own-child, Female, <=50K
 ?, 11th, Unmarried, Male, <=50K
 ?, 9th, Husband, Male, <=50K
 ?, Some-college, Not-in-family, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Not-in-family, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, 11th, Husband, Male, <=50K
 ?, 11th, Other-relative, Female, <=50K
 ?, Some-college, Unmarried, Female, <=50K
 ?, 7th-8th, Husband, Male, <=50K
 ?, 9th, Unmarried, Female, <=50K
 ?, Assoc-acdm, Not-in-family, Female, <=50K
 ?, Some-college, Not-in-family, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, 11th, Own-child, Male, <=50K
 ?, Assoc-acdm, Own-child, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, HS-grad, Husband, Male, >50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 11th, Other-relative, Female, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 5th-6th, Husband, Male, <=50K
 ?, 10th, Not-in-family, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Other-relative, Female, <=50K
 ?, 10th, Own-child, Male, <=50K
 ?, Masters, Husband, Male, <=50K
 ?, Bachelors, Husband, Male, >50K
 ?, Some-college, Own-child, Female, <=50K
 ?, HS-grad, Husband, Male, <=50K
 ?, Bachelors, Husband, Male, <=50K
 ?, HS-grad, Not-in-family, Male, <=50K
 ?, HS-grad, Own-child, Male, <=50K
 ?, HS-grad, Unmarried, Male, <=50K
 ?, Some-college, Own-child, Male, <=50K
 ?, 11th, Own-child, Male, <=50K
 ?, Some-college, Not-in-family, Female, <=50K
